0.0;-1.000.243;-7.814;31.257
0.009;-1.000.243;0.000;39.072
0.018;-1.000.243;-7.814;31.257
0.027;-1.008.057;-7.814;46.886
0.037;-1.008.057;0.000;46.886
0.046;-1.000.243;0.000;46.886
0.055;-1.000.243;-7.814;46.886
0.064;-1.000.243;-7.814;31.257
0.074;-1.000.243;-15.628;39.072
0.084;-1.000.243;-15.628;31.257
0.093;-992.428;-7.814;23.443
0.102;-992.428;-7.814;39.072
0.111;-992.428;-7.814;54.700
0.12;-992.428;-7.814;54.700
0.129;-992.428;-7.814;54.700
0.138;-984.614;7.814;62.515
0.148;-1.000.243;-7.814;39.072
0.156;-992.428;0.000;39.072
0.166;-992.428;-7.814;31.257
0.175;-992.428;-7.814;39.072
0.184;-1.000.243;-15.628;31.257
0.194;-1.000.243;0.000;39.072
0.203;-1.000.243;0.000;39.072
0.212;-984.614;-15.628;46.886
0.221;-992.428;-7.814;39.072
0.23;-992.428;-7.814;23.443
0.239;-992.428;0.000;23.443
0.249;-1.000.243;-15.628;31.257
0.258;-1.008.057;-7.814;39.072
0.268;-1.008.057;-7.814;54.700
0.278;-1.000.243;0.000;39.072
0.286;-992.428;0.000;39.072
0.295;-1.000.243;-7.814;39.072
0.304;-1.000.243;-7.814;31.257
0.314;-1.000.243;-15.628;39.072
0.323;-984.614;-23.443;31.257
0.333;-984.614;-23.443;31.257
0.342;-992.428;-23.443;39.072
0.352;-984.614;-15.628;31.257
0.361;-1.000.243;-7.814;31.257
0.37;-1.000.243;-7.814;46.886
0.38;-1.000.243;-7.814;46.886
0.39;-1.008.057;-15.628;39.072
0.399;-984.614;-7.814;31.257
0.408;-992.428;-7.814;39.072
0.417;-1.008.057;-7.814;39.072
0.427;-1.015.872;-7.814;15.628
0.436;-1.000.243;-7.814;23.443
0.445;-992.428;-15.628;39.072
0.455;-1.000.243;0.000;46.886
0.464;-992.428;-7.814;46.886
0.473;-992.428;-7.814;39.072
0.482;-1.008.057;-15.628;23.443
0.492;-992.428;-7.814;39.072
0.501;-1.000.243;0.000;39.072
0.509;-992.428;0.000;31.257
0.518;-992.428;0.000;31.257
0.528;-1.000.243;-15.628;23.443
0.537;-1.000.243;-7.814;46.886
0.547;-1.000.243;-7.814;46.886
0.556;-1.000.243;-7.814;46.886
0.566;-1.008.057;-7.814;39.072
0.575;-1.000.243;-15.628;39.072
0.584;-992.428;-7.814;39.072
0.595;-992.428;-7.814;31.257
0.603;-1.000.243;-15.628;31.257
0.612;-992.428;-7.814;31.257
0.621;-1.000.243;0.000;39.072
0.631;-1.000.243;-7.814;54.700
0.64;-992.428;-7.814;54.700
0.649;-992.428;-7.814;23.443
0.658;-1.000.243;-7.814;23.443
0.668;-1.000.243;-7.814;31.257
0.677;-992.428;0.000;39.072
0.686;-1.000.243;0.000;39.072
0.695;-992.428;0.000;39.072
0.704;-1.000.243;-7.814;46.886
0.713;-992.428;-7.814;46.886
0.722;-992.428;-7.814;46.886
0.731;-992.428;-7.814;39.072
0.741;-992.428;0.000;54.700
0.75;-1.000.243;-15.628;46.886
0.759;-1.008.057;-7.814;31.257
0.769;-1.008.057;-7.814;31.257
0.778;-984.614;-7.814;39.072
0.787;-992.428;-7.814;31.257
0.796;-992.428;-15.628;31.257
0.805;-992.428;0.000;54.700
0.814;-992.428;-7.814;54.700
0.824;-1.000.243;0.000;46.886
0.833;-1.008.057;-7.814;46.886
0.843;-1.000.243;-15.628;46.886
0.852;-992.428;-15.628;46.886
0.862;-1.008.057;-15.628;31.257
0.871;-992.428;-7.814;46.886
0.88;-992.428;-7.814;46.886
0.889;-992.428;-15.628;39.072
0.898;-992.428;15.628;39.072
0.908;-1.000.243;0.000;39.072
0.917;-992.428;-7.814;46.886
0.926;-1.008.057;-15.628;39.072
0.936;-1.008.057;-15.628;39.072
0.945;-992.428;0.000;46.886
0.954;-992.428;-7.814;39.072
0.963;-984.614;-7.814;39.072
0.973;-1.000.243;-15.628;62.515
0.982;-984.614;0.000;54.700
0.991;-984.614;-15.628;46.886
1.0;-984.614;0.000;39.072
1.009;-1.000.243;-7.814;31.257
1.018;-992.428;0.000;46.886
1.027;-992.428;0.000;46.886
1.036;-1.000.243;0.000;54.700
1.046;-1.008.057;-7.814;54.700
1.055;-1.000.243;-7.814;46.886
1.065;-1.000.243;-7.814;62.515
1.073;-992.428;0.000;46.886
1.082;-984.614;7.814;54.700
1.092;-1.000.243;-7.814;54.700
1.101;-1.000.243;-7.814;46.886
1.112;-1.008.057;-7.814;54.700
1.12;-1.008.057;-7.814;46.886
1.129;-992.428;-15.628;39.072
1.139;-992.428;-23.443;54.700
1.148;-992.428;-15.628;46.886
1.158;-984.614;-15.628;46.886
1.167;-992.428;-7.814;54.700
1.176;-992.428;-7.814;39.072
1.185;-968.985;0.000;46.886
1.194;-1.000.243;-7.814;54.700
1.203;-1.008.057;-7.814;62.515
1.213;-1.000.243;0.000;39.072
1.222;-992.428;0.000;62.515
1.23;-992.428;0.000;54.700
1.239;-992.428;0.000;39.072
1.248;-992.428;0.000;46.886
1.257;-992.428;0.000;46.886
1.266;-992.428;0.000;54.700
1.275;-1.000.243;0.000;39.072
1.284;-992.428;0.000;31.257
1.293;-984.614;7.814;46.886
1.302;-1.000.243;0.000;54.700
1.311;-992.428;7.814;62.515
1.32;-1.000.243;-7.814;39.072
1.33;-1.000.243;-7.814;46.886
1.339;-992.428;-7.814;46.886
1.348;-984.614;-15.628;62.515
1.357;-984.614;7.814;46.886
1.366;-992.428;7.814;46.886
1.375;-992.428;-15.628;39.072
1.385;-992.428;-23.443;39.072
1.394;-992.428;-7.814;39.072
1.403;-992.428;-15.628;46.886
1.413;-984.614;-15.628;39.072
1.422;-1.015.872;-7.814;46.886
1.431;-984.614;-7.814;46.886
1.44;-992.428;0.000;46.886
1.449;-992.428;0.000;46.886
1.458;-1.000.243;0.000;39.072
1.467;-1.000.243;0.000;54.700
1.476;-1.000.243;0.000;54.700
1.485;-992.428;0.000;54.700
1.494;-1.000.243;0.000;62.515
1.503;-992.428;0.000;46.886
1.512;-992.428;-7.814;54.700
1.522;-992.428;-15.628;39.072
1.531;-992.428;-7.814;39.072
1.54;-1.000.243;0.000;39.072
1.549;-992.428;-15.628;39.072
1.559;-984.614;-15.628;46.886
1.568;-984.614;-7.814;31.257
1.577;-992.428;0.000;46.886
1.585;-992.428;0.000;46.886
1.595;-992.428;-7.814;54.700
1.604;-1.000.243;-7.814;62.515
1.613;-1.015.872;-7.814;46.886
1.623;-1.000.243;-15.628;46.886
1.633;-1.008.057;-15.628;39.072
1.642;-976.800;-23.443;70.329
1.652;-992.428;-15.628;46.886
1.661;-992.428;-15.628;46.886
1.67;-992.428;-7.814;39.072
1.679;-1.000.243;0.000;46.886
1.688;-1.000.243;0.000;23.443
1.697;-992.428;0.000;39.072
1.706;-992.428;-7.814;39.072
1.715;-992.428;-7.814;39.072
1.725;-1.000.243;-15.628;46.886
1.734;-992.428;-7.814;39.072
1.745;-1.000.243;-15.628;46.886
1.754;-1.000.243;-15.628;39.072
1.763;-1.000.243;0.000;54.700
1.772;-1.000.243;-7.814;54.700
1.781;-1.008.057;-7.814;39.072
1.791;-1.000.243;-7.814;54.700
1.8;-992.428;-7.814;31.257
1.809;-992.428;-15.628;39.072
1.819;-992.428;-15.628;39.072
1.828;-984.614;-7.814;39.072
1.837;-992.428;-7.814;46.886
1.846;-976.800;0.000;39.072
1.855;-976.800;0.000;39.072
1.864;-1.000.243;-7.814;46.886
1.874;-1.008.057;-7.814;39.072
1.883;-1.000.243;-7.814;31.257
1.892;-992.428;-23.443;46.886
1.902;-1.000.243;-23.443;46.886
1.912;-1.008.057;-15.628;31.257
1.921;-984.614;-7.814;31.257
1.93;-984.614;-15.628;31.257
1.939;-992.428;-7.814;23.443
1.949;-1.000.243;-15.628;31.257
1.958;-992.428;-15.628;46.886
1.968;-1.000.243;-7.814;39.072
1.977;-1.008.057;-7.814;39.072
1.987;-1.008.057;-7.814;54.700
1.996;-1.000.243;0.000;54.700
2.005;-1.000.243;0.000;54.700
2.014;-992.428;-7.814;46.886
2.023;-992.428;0.000;46.886
2.032;-1.000.243;-7.814;39.072
2.041;-992.428;0.000;31.257
2.05;-992.428;-7.814;39.072
2.059;-1.008.057;0.000;31.257
2.068;-992.428;-7.814;31.257
2.078;-992.428;-15.628;46.886
2.087;-984.614;-7.814;46.886
2.096;-992.428;-15.628;39.072
2.105;-992.428;-7.814;54.700
2.115;-992.428;-7.814;54.700
2.124;-1.000.243;0.000;46.886
2.133;-1.000.243;-7.814;39.072
2.142;-992.428;0.000;39.072
2.151;-1.008.057;-7.814;31.257
2.161;-1.000.243;-7.814;39.072
2.17;-992.428;-15.628;39.072
2.18;-992.428;-23.443;31.257
2.189;-992.428;-15.628;39.072
2.199;-1.000.243;-15.628;31.257
2.208;-992.428;-15.628;31.257
2.217;-984.614;-15.628;39.072
2.227;-992.428;-23.443;31.257
2.236;-1.008.057;-7.814;46.886
2.246;-1.008.057;-7.814;39.072
2.255;-1.008.057;-7.814;39.072
2.264;-1.000.243;-7.814;39.072
2.274;-1.000.243;-7.814;23.443
2.283;-992.428;-15.628;39.072
2.293;-1.000.243;-31.257;31.257
2.302;-992.428;-54.700;31.257
2.312;-1.000.243;-15.628;46.886
2.322;-1.000.243;-31.257;39.072
2.331;-992.428;-23.443;31.257
2.341;-992.428;-31.257;31.257
2.35;-992.428;-15.628;23.443
2.359;-992.428;-31.257;39.072
2.369;-1.000.243;-23.443;39.072
2.379;-1.000.243;-15.628;39.072
2.388;-992.428;-15.628;23.443
2.398;-1.000.243;-15.628;39.072
2.407;-1.000.243;-23.443;39.072
2.417;-1.008.057;-7.814;39.072
2.426;-1.000.243;-7.814;39.072
2.435;-992.428;-7.814;31.257
2.445;-1.008.057;-7.814;46.886
2.454;-1.008.057;-7.814;46.886
2.464;-992.428;-15.628;39.072
2.473;-1.000.243;-15.628;31.257
